1,爱不释手,ài bù shì shǒu
2,按部就班,àn bù jiù bān
3,百折不挠,bǎi zhé bù náo
4,半途而废,bàn tú ér fèi
5,包罗万象,bāo luó wàn xiàng
6,变本加厉,biàn běn jiā lì
7,别出心裁,bié chū xīn cái
8,宾至如归,bīn zhì rú guī
9,不可救药,bù kě jiù yào
10,不劳而获,bù láo ér huò
11,不务正业,bù wù zhèng yè
12,不省人事,bù xǐng rén shì
13,不遗余力,bù yí yú lì
14,不择手段,bù zé shǒu duàn
15,不自量力,bù zì liàng lì
16,长年累月,cháng nián lèi yuè
17,趁火打劫,chèn huǒ dǎ jié
18,愁眉不展,chóu méi bù zhǎn
19,川流不息,chuān liú bù xī
20,唇亡齿寒,chún wáng chǐ hán
21,从容不迫,cóng róng bù pò
22,措手不及,cuò shǒu bù jí
23,打草惊蛇,dǎ cǎo jīng shé
24,大刀阔斧,dà dāo kuò fǔ
25,大公无私,dà gōng wú sī
26,道听途说,dào tīng tú shuō
27,得意忘形,dé yì wàng xíng
28,对牛弹琴,duì niú tán qín
29,发扬光大,fā yáng guāng dà
30,奋不顾身,fèn bù gù shēn
31,奉公守法,fèng gōng shǒu fǎ
32,各有千秋,gè yǒu qiān qiū
33,光明正大,guāng míng zhèng dà
34,海底捞针,hǎi dǐ lāo zhēn
35,好逸恶劳,hào yì wù láo
36,和睦共处,hé mù gòng chǔ
37,狐假虎威,hú jiǎ hǔ wēi
38,胡思乱想,hú sī luàn xiǎng
39,胡作非为,hú zuò fēi wéi
40,花言巧语,huā yán qiǎo yǔ
41,画蛇添足,huà shé tiān zú
42,家喻户晓,jiā yù hù xiǎo
43,见利忘义,jiàn lì wàng yì
44,津津有味,jīn jīn yǒu wèi
45,进退两难,jìn tuì liǎng nán
46,井井有条,jǐng jǐng yǒu tiáo
47,刻苦耐劳,kè kǔ nài láo
48,口是心非,kǒu shì xīn fēi
49,苦口婆心,kǔ kǒu pó xīn
50,理直气壮,lǐ zhí qì zhuàng
51,力不从心,lì bù cóng xīn
52,了如指掌,liǎo rú zhǐ zhǎng
53,路不拾遗,lù bù shí yí
54,落花流水,luò huā liú shuǐ
55,慢条斯理,màn tiáo sī lǐ
56,面目全非,miàn mù quán fēi
57,明目张胆,míng mù zhāng dǎn
58,默守成规,mò shǒu chéng guī
59,普天同庆,pǔ tiān tóng qìng
60,千篇一律,qiān piān yī lǜ
61,情同手足,qíng tóng shǒu zú
62,人云亦云,rén yún yì yún
63,荣华富贵,róng huá fù guì
64,三思而行,sān sī ér xíng
65,僧多粥少,sēng duō zhōu shǎo
66,舍己为人,shě jǐ wèi rén
67,事半功倍,shì bàn gōng bèi
68,视死如归,shì sǐ rú guī
69,守望相助,shǒu wàng xiāng zhù
70,守株待兔,shǒu zhū dài tù
71,熟能生巧,shú néng shēng qiǎo
72,水落石出,shuǐ luò shí chū
73,似是而非,sì shì ér fēi
74,滔滔不绝,tāo tāo bù jué
75,提心吊胆,tí xīn diào dǎn
76,同甘共苦,tóng gān gòng kǔ
77,投机取巧,tóu jī qǔ qiǎo
78,图劳无功,tú láo wú gōng
79,望尘莫及,wàng chén mò jí
80,忘恩负义,wàng ēn fù yì
81,为非作歹,wéi fēi zuò dǎi
82,无微不至,wú wēi bù zhì
83,相安无事,xiāng ān wú shì
84,心灰意懒,xīn huī yì lǎn
85,兴高采烈,xìng gāo cǎi liè
86,袖手旁观,xiù shǒu páng guān
87,鸦雀无声,yā què wú shēng
88,言行一致,yán xíng yī zhì
89,一败涂地,yī bài tú dì
90,一帆风顺,yī fān fēng shùn
91,一视同仁,yī shì tóng rén
92,一事无成,yī shì wú chéng
93,以卵击石,yǐ luǎn jī shí
94,以身作则,yǐ shēn zuò zé
95,易如反掌,yì rú fǎn zhǎng
96,饮水思源,yǐn shuǐ sī yuán
97,迎刃而解,yíng rèn ér jiě
98,有勇无谋,yǒu yǒng wú móu
99,执迷不悟,zhí mí bù wù
100,趾高气扬,zhǐ gāo qì yáng
101,纸上谈兵,zhǐ shàng tán bīng
102,志同道合,zhì tóng dào hé
103,置之不理,zhì zhī bù lǐ
104,装聋作哑,zhuāng lóng zuò yǎ
105,自暴自弃,zì bào zì qì
106,自力更生,zì lì gēng shēng
107,坐井观天,zuò jǐng guān tiān
108,爱屋及乌,ài wū jí wū
109,百年树人,bǎi nián shù rén
110,班门弄斧,bān mén nòng fǔ
111,标新立异,biāo xīn lì yì
112,重蹈覆辙,chóng dǎo fù zhé
113,德高望重,dé gāo wàng zhòng
114,耳濡目染,ěr rú mù rǎn
115,风驰电掣,fēng chí diàn chè
116,凤毛麟角,fèng máo lín jiǎo
117,敷衍塞责,fū yǎn sè zé
118,功亏一篑,gōng kuī yī kuì
119,画龙点睛,huà lóng diǎn jīng
120,居安思危,jū ān sī wēi
121,开源节流,kāi yuán jié liú
122,脍炙人口,kuài zhì rén kǒu
123,明哲保身,míng zhé bǎo shēn
124,潛移默化,qián yí mò huà
125,束手无策,shù shǒu wú cè
126,温故知新,wēn gù zhī xīn
127,信口开河,xìn kǒu kāi hé
128,忠言逆耳,zhōng yán nì ěr
129,闭门造车,bì mén zào chē
130,不耻下问,bù chǐ xià wèn
131,不攻自破,bù gōng zì pò
132,不可思议,bù kě sī yì
133,不翼而飞,bù yì ér fēi
134,出类拔萃,chū lèi bá cuì
135,吹毛求疵,chuī máo qiú cī
136,垂涎三尺,chuí xián sān chǐ
137,从善如流,cóng shàn rú liú
138,大言不惭,dà yán bù cán
139,当机立断,dāng jī lì duàn
140,得寸进尺,dé cùn jìn chǐ
141,得过且过,dé guò qiě guò
142,废寝忘食,fèi qǐn wàng shí
143,改过自新,gǎi guò zì xīn
144,高瞻远瞩,gāo zhān yuǎn zhǔ
145,高枕无忧,gāo zhěn wú yōu
146,隔岸观火,gé àn guān huǒ
147,根深蒂固,gēn shēn dì gù
148,钩心斗角,gōu xīn dòu jiǎo
149,苟且偷安,gǒu qiě tōu ān
150,孤陋寡闻,gū lòu guǎ wén
151,孤掌难鸣,gū zhǎng nán míng
152,孤注一掷,gū zhù yī zhì
153,沽名钓誉,gū míng diào yù
154,古色古香,gǔ sè gǔ xiāng
155,拐弯抹角,guǎi wān mò jiǎo
156,含辛茹苦,hán xīn rú kǔ
157,好高骛远,hào gāo wù yuǎn
158,挥金如土,huī jīn rú tǔ
159,混水摸鱼,hùn shuǐ mō yú
160,鸡犬不宁,jī quǎn bù níng
161,集思广益,jí sī guǎng yì
162,假公济私,jiǎ gōng jì sī
163,见异思迁,jiàn yì sī qiān
164,见义勇为,jiàn yì yǒng wéi
165,捷足先登,jié zú xiān dēng
166,精益求精,jīng yì qiú jīng
167,鞠躬尽瘁,jū gōng jìn cuì
168,举一反三,jǔ yī fǎn sān
169,举足轻重,jǔ zú qīng zhòng
170,开门见山,kāi mén jiàn shān
171,慷慨解囊,kāng kǎi jiě náng
172,滥竽充数,làn yú chōng shù
173,老马识途,lǎo mǎ shí tú
174,励精图治,lì jīng tú zhì
175,临渴掘井,lín kě jué jǐng
176,流离失所,liú lí shī suǒ
177,络绎不绝,luò yì bù jué
178,满载而归,mǎn zài ér guī
179,毛遂自荐,máo suì zì jiàn
180,每况愈下,měi kuàng yù xià
181,明知故犯,míng zhī gù fàn
182,目中无人,mù zhōng wú rén
183,弄巧反拙,nòng qiǎo fǎn zhuō
184,破釜沉舟,pò fǔ chén zhōu
185,杞人忧天,qǐ rén yōu tiān
186,千钧一发,qiān jūn yī fà
187,千载难逢,qiān zǎi nán féng
188,前车之鉴,qián chē zhī jiàn
189,强词夺理,qiáng cí duó lǐ
190,青出于蓝,qīng chū yú lán
191,倾家荡产,qīng jiā dàng chǎn
192,人浮于事,rén fú yú shì
193,任劳任怨,rèn láo rèn yuàn
194,如火如荼,rú huǒ rú tú
195,如释重负,rú shì zhòng fù
196,杀鸡取卵,shā jī qǔ luǎn
197,手不释卷,shǒu bù shì juàn
198,守口如瓶,shǒu kǒu rú píng
199,水到渠成,shuǐ dào qú chéng
200,顺手牵羊,shùn shǒu qiān yáng
201,司空见惯,sī kōng jiàn guàn
202,随遇而安,suí yù ér ān
203,挑拨离间,tiǎo bō lí jiàn
204,挺而走险,tǐng ér zǒu xiǎn
205,同归于尽,tóng guī yú jìn
206,同流合污,tóng liú hé wū
207,同舟共济,tóng zhōu gòng jì
208,推陈出新,tuī chén chū xīn
209,未雨绸缪,wèi yǔ chóu móu
210,无病呻吟,wú bìng shēn yín
211,无动于衷,wú dòng yú zhōng
212,五体投地,wǔ tǐ tóu dì
213,息事宁人,xī shì níng rén
214,相辅相成,xiāng fǔ xiāng chéng
215,心旷神怡,xīn kuàng shén yí
216,欣欣向荣,xīn xīn xiàng róng
217,胸有成竹,xiōng yǒu chéng zhú
218,栩栩如生,xǔ xǔ rú shēng
219,悬崖勒马,xuán yá lè mǎ
220,削足适履,xuē zú shì lǚ
221,寻根究底,xún gēn jiū dǐ
222,循循善诱,xún xún shàn yòu
223,雅俗共赏,yǎ sú gòng shǎng
224,养尊处优,yǎng zūn chǔ yōu
225,摇摇欲坠,yáo yáo yù zhuì
226,一见如故,yī jiàn rú gù
227,一举两得,yī jǔ liǎng dé
228,一蹶不振,yī jué bù zhèn
229,一劳永逸,yī láo yǒng yì
230,一落千丈,yī luò qiān zhàng
231,一毛不拔,yī máo bù bá
232,一目了然,yī mù liǎo rán
233,一暴十寒,yī pù shí hán
234,一网打尽,yī wǎng dǎ jìn
235,一意孤行,yī yì gū xíng
236,一针见血,yī zhēn jiàn xiě
237,一知半解,yī zhī bàn jiě
238,以牙还牙,yǐ yá huán yá
239,异想天开,yì xiǎng tiān kāi
240,应接不暇,yìng jiē bù xiá
241,优柔寡断,yōu róu guǎ duàn
242,游手好闲,yóu shǒu hào xián
243,有目共睹,yǒu mù gòng dǔ
244,与日俱增,yǔ rì jù zēng
245,再接再厉,zài jiē zài lì
246,蒸蒸日上,zhēng zhēng rì shàng
247,真知灼见,zhēn zhī zhuó jiàn
248,自投罗网,zì tóu luó wǎng
249,自相矛盾,zì xiāng máo dùn
250,坐享其成,zuò xiǎng qí chéng
